Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC092110Loc_DoubleSound,0,1,609,6,0.253888267,0.456046272,0.041900354,0.248165107,Average,0.456046272,0.11,0.11,0.11,0.11,0.09,0.1,0.09,0.07,0.07,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092110Loc_DoubleSound,0,1,1100,24,0.313152286,0.293767785,0.000990634,0.392089295,Single,0.392089295,0.11,0.1,0.1,0.11,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092310Loc_DoubleSound,0,1,903,-24,0.005514683,0.989910119,0.000360348,0.004214851,Average,0.989910119,0.07,0.07,0.07,0.08,0.09,0.11,0.12,0.11,0.11,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092410Loc_DoubleSound,0,1,903,24,0.425740332,0.30890371,0.006355557,0.259000401,Mixture,0.425740332,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,1100,-6,0.053430078,0.859777689,0.001116137,0.085676096,Average,0.859777689,0.08,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.09,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,500,-6,0.121710058,0.794205022,0.001655564,0.082429357,Average,0.794205022,0.09,0.08,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,903,-6,0.23115786,0.571406493,0.038133793,0.159301854,Average,0.571406493,0.08,0.08,0.09,0.09,0.1,0.08,0.09,0.1,0.1,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,1100,-24,0.143484014,0.303907576,0.001669666,0.550938744,Single,0.550938744,0.18,0.13,0.15,0.11,0.09,0.08,0.06,0.06,0.05,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,609,-6,0.24701728,0.196735128,0.140591468,0.415656124,Single,0.415656124,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,903,-24,0.364034516,0.233468856,0.000136034,0.402360594,Single,0.402360594,0.12,0.1,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092710Loc_DoubleSound,0,1,609,6,0.333443507,0.274533545,0.004733067,0.38728988,Single,0.38728988,0.08,0.09,0.1,0.08,0.08,0.09,0.1,0.1,0.09,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092810Loc_DoubleSound,0,1,1100,-24,0.012920209,0.986923645,6.88E-08,0.000156077,Average,0.986923645,0.09,0.08,0.08,0.1,0.12,0.11,0.1,0.09,0.09,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092810Loc_DoubleSound,0,1,500,6,0.382019724,0.397173114,0.049822777,0.170984386,Average,0.397173114,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.08,0.08,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092910Loc_DoubleSound,0,1,903,-6,0.007507641,0.991403226,0.000639749,0.000449383,Average,0.991403226,0.07,0.08,0.09,0.09,0.12,0.11,0.1,0.1,0.1,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092910Loc_DoubleSound,0,1,1100,24,0.978033792,0.018460701,0.00041559,0.003089917,Mixture,0.978033792,0.09,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.1,0.11,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092910Loc_DoubleSound,0,1,1100,-24,0.709665721,0.264196738,1.25E-05,0.026125035,Mixture,0.709665721,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092910Loc_DoubleSound,0,1,1100,-6,0.318256589,0.547661799,0.025200351,0.108881261,Average,0.547661799,0.07,0.08,0.08,0.08,0.08,0.1,0.1,0.11,0.11,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092910Loc_DoubleSound,0,1,903,24,0.178126783,0.412194597,0.003620802,0.406057819,Average,0.412194597,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
