"Cell","Site","contra","AltFreq","AltPos","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","Switch","url"
"YKIC140528Loc_DoubleSound",2,1,500,6,0.203133729,0.447852765,5.1e-05,0.348962521,"Average",0.447852765,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140528Loc_DoubleSound_Site2_Freq500_Pos6.png"
"YKIC140528Loc_DoubleSound",1,1,1632,6,0.353609958,0.205777295,0.001483189,0.439129558,"Single",0.439129558,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140528Loc_DoubleSound_Site1_Freq1632_Pos6.png"
"YKIC140219Loc_DoubleSound",2,1,1100,-24,0.212919482,0.354572938,0.001763524,0.430744056,"Single",0.430744056,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140219Loc_DoubleSound_Site2_Freq1100_Pos-24.png"
"YKIC072811Loc_DoubleSound",0,-1,1100,6,0.262825107,0.02316144,0.430690105,0.283323348,"Outside",0.430690105,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC072811Loc_DoubleSound_Site0_Freq1100_Pos6.png"
"YKIC072811Loc_DoubleSound",0,-1,609,6,0.114593537,0.070301379,0.417168997,0.397936087,"Outside",0.417168997,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC072811Loc_DoubleSound_Site0_Freq609_Pos6.png"
"YKIC140507Loc_DoubleSound",2,1,500,6,0.409979822,0.37902719,0.028683096,0.182309892,"Mixture",0.409979822,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140507Loc_DoubleSound_Site2_Freq500_Pos6.png"
"YKIC140501Loc_DoubleSound",2,1,1632,-24,0.997574059,0.001491715,3.41e-08,0.000934192,"Mixture",0.997574059,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140501Loc_DoubleSound_Site2_Freq1632_Pos-24.png"
"YKIC140507Loc_DoubleSound",2,1,1632,-6,0.995746945,0.001906737,3.62e-07,0.002345956,"Mixture",0.995746945,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140507Loc_DoubleSound_Site2_Freq1632_Pos-6.png"
"YKIC140226Loc_DoubleSound",2,1,500,6,0.005171733,0.993275215,2.24e-08,0.00155303,"Average",0.993275215,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140226Loc_DoubleSound_Site2_Freq500_Pos6.png"
"YKIC140501Loc_DoubleSound",1,1,500,-6,0.991393196,0.002430535,1.87e-06,0.006174397,"Mixture",0.991393196,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140501Loc_DoubleSound_Site1_Freq500_Pos-6.png"
"YKIC140528Loc_DoubleSound",1,1,500,24,0.001751984,0.971798722,0.003140081,0.023309213,"Average",0.971798722,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140528Loc_DoubleSound_Site1_Freq500_Pos24.png"
"YKIC140501Loc_DoubleSound",2,1,1632,24,0.999999779,1.58e-07,3.62e-09,6.01e-08,"Mixture",0.999999779,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140501Loc_DoubleSound_Site2_Freq1632_Pos24.png"
"YKIC140124Loc_DoubleSound",2,1,500,24,0.999999329,6.65e-07,6.43e-10,5.03e-09,"Mixture",0.999999329,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140124Loc_DoubleSound_Site2_Freq500_Pos24.png"
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,"Stable","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC080311Loc_DoubleSound_Site0_Freq1100_Pos24.png"
